Name,Type,Target,Use
Chamomile Tea,Tea,"Anxiety, Sleep","Steep 5-10 minutes, sip warm"
Lavender Oil,Essential Oil,"Stress, Sleep",Diffuse or dab on wrists
Ginger Root,Herbal Remedy,"Nausea, Digestion","Boil for 10 mins, drink"
Peppermint Tea,Tea,"Headache, Nausea",Steep 5-7 minutes
Eucalyptus Oil,Essential Oil,"Congestion, Clarity",Steam or inhale
Ashwagandha,Herbal Supplement,"Stress, Focus",Take as capsule or powder
Lemon Balm,Tea,"Calm, Insomnia",Steep 5-10 minutes
Frankincense,Essential Oil,"Grief, Anxiety",Diffuse or apply to chest
Valerian Root,Herbal Remedy,"Sleep, Tension",Take before bed
Bergamot,Essential Oil,"Depression, Mood",Diffuse or apply to skin
Holy Basil,Tea,"Balance, Resilience",Steep 10 minutes
Rosemary,Scent Therapy,"Memory, Focus",Inhale scent or use in food
